id,V,stV,Vi,stVi,Ve
3QCG,346.8,15.536,41,4.243,305.8
2IHQ,349.8,7.808,41.4,1.625,308.4
4QTN,359.4,11.569,50.8,3.187,308.6
4XTV,813,12.1,222.8,6.911,590.2
5XGI,820.2,12.921,236.6,9.749,583.6
2WNC,807,4.98,236.2,6.554,570.8
5DTM,805.2,6.242,214.4,8.237,590.8
2XJ1,820.6,14.948,241.8,9.368,578.8
1XAP,825,15.925,234.6,9.972,590.4
4TXC,819.4,10.947,220.6,9.372,598.8
6H36,809,22.307,231.8,12.937,577.2
6OW7,803.6,20.607,223.8,13.804,579.8
3TAM,822,18.963,224.6,8.429,597.4
2BFR,828.8,11.889,232.2,7.167,596.6
5SZ2,792,6.229,215.2,3.919,576.8
2BFQ,829.2,11.338,229.2,6.853,600
4MNE,799.8,21.141,214,10.507,585.8
1UWF,791.6,5.748,212.4,3.007,579.2
1MS0,824.4,8.958,248.4,10.781,576
3KKU,798.6,19.612,230.6,13.764,568
4PP3,796.2,20.193,214.6,14.235,581.6
5R4W,791.8,16.916,215.2,9.495,576.6
5QAF,824.8,13.732,218.4,2.871,606.4
4WZ6,804.2,27.651,226.4,19.785,577.8
5U69,827.6,26.211,230.4,11.893,597.2
4RLW,822.6,28.987,232,17.618,590.6
6B4L,804.8,26.37,217.2,20.576,587.6
5RWF,830.2,27.088,244.4,9.562,585.8
3GQO,811,12.442,250,11.278,561
3EBH,827.8,20.644,221.8,12.828,606
4XRX,803.6,32.995,221.2,21.047,582.4
1A0Q,792.4,14.305,234.4,12.027,558
5JFW,790.6,14.179,204,12.884,586.6
6FAW,824.6,30.077,242.4,19.561,582.2
3C2U,821,17.123,254.4,12.208,566.6
3TVX,798.2,4.261,199,4.195,599.2
3EJT,806.2,33.713,236.8,17.882,569.4
3IP5,787.6,24.977,222.4,9.394,565.2
5LUU,799.4,14.5,199.2,5.418,600.2
5M56,798.2,17.915,242.6,11.43,555.6
1ME8,793.8,29.034,210.6,17.431,583.2
4GNE,832,10.621,248.6,25.413,583.4
6GGB,807.2,21.563,202.6,8.98,604.6
6EOX,785.6,16.07,202.8,5.845,582.8
1KMY,800.8,15.354,199,10.334,601.8
2QRH,781.6,13.063,219.2,6.94,562.4
4D8Z,807.8,6.242,198.8,1.327,609
5RF6,798.8,18.702,245.6,9.851,553.2
5KS7,780.2,5.528,219.4,5.851,560.8
4GMY,834.2,11.99,250.4,25.912,583.8
6G9I,822.4,19.273,259.2,4.167,563.2
5C8K,789.4,15.667,197.8,9.304,591.6
2QRK,779.8,13.673,217.6,5.886,562.2
5N1G,581.2,17.046,271,13.1,310.2
3MQD,435.8,9.537,84,4.604,351.8
4LSJ,762,28.636,148,20.357,614
6EE4,984,21.836,285,28.475,699
4TPK,1433.8,21.867,670.4,25.904,763.4
5DG0,1519.8,91.692,670.6,101.608,849.2
5O9Q,1903.6,86.465,964,98.051,939.6
1EBK,2681.2,41.499,1295.2,59.838,1386
